id,firstname,lastname,course,year,gender
2026-1353,Frances,Kabiling,BSBA-MM,1,Other
2026-1354,Orlando,Inocencio,BSCE,2,Male
2026-1355,Ursula,David,BSCE,3,Female
2026-1356,Denise,Nguyen,BSCS,4,Other
2026-1357,Juan,Santiago,BSCerE,1,Male
2026-1358,Tristan,Calixto,BSChE,2,Female
2026-1359,Heidi,Joaquin,BSCpE,3,Other
2026-1360,Bianca,Quinto,BSECE,4,Male
2026-1361,Carlo,Gonzales,BSEE,1,Female
2026-1362,Rafael,Tagle,BSEME,2,Other
2026-1363,Ursula,Robles,BSENTREP,3,Male
2026-1364,Zoe,Herrera,BSEnE,4,Female
2026-1365,Giselle,Manansala,BSIS,1,Other
2026-1366,Nathan,Hernando,BSIT,2,Male
2026-1367,Mark,Gonzales,BSME,3,Female
2026-1368,Althea,Cayetano,BSMEE,4,Other
2026-1369,Brian,Valdez,BSMetE,1,Male
2026-1370,Ivan,Ramos,BSCE,2,Female
2026-1371,Elias,Lopez,BSPhil,3,Other
2026-1372,Martin,Ablaza,BSPsych,4,Male
2026-1373,Isagani,Hernando,BA Fil,1,Female
2026-1374,Rafael,Baldwin,BA His,2,Other
2026-1375,Carmen,Dizon,BA Pan,3,Male
2026-1376,Neil,Ilagan,BA PoS,4,Female
2026-1377,Liam,Tagle,BA Psych,1,Other
2026-1378,Diana,Dela Cruz,BA Soc,2,Male
2026-1379,Grace,Hidalgo,BAELS,3,Female
2026-1380,Hazel,Hernandez,BALCS,4,Other
2026-1381,Hector,Khan,BET-CET,1,Male
2026-1382,Neil,Co,BET-ChET,2,Female
2026-1383,Tristan,David,BET-EET,3,Other
2026-1384,Simon,Del Rosario,BET-EST,4,Male
2026-1385,Clara,Gutierrez,BET-MET,1,Female
2026-1386,Andrea,Paredes,BET-MMT,2,Other
2026-1387,Dominic,Nolasco,BS Applied Physics,3,Male
2026-1388,Lourdes,Hilario,BS Bio-Animal Biology,4,Female
2026-1389,Brian,Gonzales,BS Bio-Biodiversity,1,Other
2026-1390,Brenda,Neri,BS Bio-Microbiology,2,Male
2026-1391,Cyrus,Yabut,BS Bio-Plant Biology,3,Female
2026-1392,Faith,Rosales,BS Chem,4,Other
2026-1393,Isagani,Tiongson,BS Econ,1,Male
2026-1394,Martin,Santiago,BS HM,2,Female
2026-1395,Cedric,Yap,BS IAM,3,Other
2026-1396,Hector,Neri,BS Mar,4,Male
2026-1397,Janice,Hernandez,BS Math,1,Female
2026-1398,Ulysses,Pascual,BS Physics,2,Other
2026-1399,Olivia,Santiago,BS Stat,3,Male
2026-1400,Elias,Quinto,BSA,4,Female
2026-1401,Elena,Hernandez,BSBA-BE,1,Other
2026-1402,Valerie,Flores,BSBA-MM,2,Male
2026-1403,Sofia,Tagle,BSCE,3,Female
2026-1404,Ophelia,Enriquez,BSCE,4,Other
2026-1405,Ella,Aquino,BSCS,1,Male
2026-1406,Karl,Espinosa,BSCerE,2,Female
2026-1407,Wendy,Velasco,BSChE,3,Other
2026-1408,Grace,Velasco,BSCpE,4,Male
2026-1409,Sebastian,Urbano,BSECE,1,Female
2026-1410,Nestor,Bautista,BSEE,2,Other
2026-1411,Adrian,Romero,BSEME,3,Male
2026-1412,Finn,Yason,BSENTREP,4,Female
2026-1413,Karl,Dizon,BSEnE,1,Other
2026-1414,Alyssa,Co,BSIS,2,Male
2026-1415,Ariana,Del Rosario,BSIT,3,Female
2026-1416,Tobias,Khan,BSME,4,Other
2026-1417,Hector,Romero,BSMEE,1,Male
2026-1418,Kevin,Padilla,BSMetE,2,Female
2026-1419,Jose,Macaraeg,BSCE,3,Other
2026-1420,Frances,Cruz,BSPhil,4,Male
2026-1421,Sebastian,Tan,BSPsych,1,Female
2026-1422,Aiden,Estrella,BA Fil,2,Other
2026-1423,Emilio,Fuentes,BA His,3,Male
2026-1424,Rita,Flores,BA Pan,4,Female
2026-1425,Sofia,Baldwin,BA PoS,1,Other
2026-1426,Uriel,Umali,BA Psych,2,Male
2026-1427,Rita,Lim,BA Soc,3,Female
2026-1428,Yana,Panganiban,BAELS,4,Other
2026-1429,Celeste,Romero,BALCS,1,Male
2026-1430,Perry,Gutierrez,BET-CET,2,Female
2026-1431,Janice,Bautista,BET-ChET,3,Other
2026-1432,George,Jacinto,BET-EET,4,Male
2026-1433,Faith,Ortega,BET-EST,1,Female
2026-1434,Irene,Castillo,BET-MET,2,Other
2026-1435,Lourdes,Salvacion,BET-MMT,3,Male
2026-1436,Liam,Sanchez,BS Applied Physics,4,Female
2026-1437,Daniel,Madrigal,BS Bio-Animal Biology,1,Other
2026-1438,Olivia,Kabiling,BS Bio-Biodiversity,2,Male
2026-1439,Lina,Espinosa,BS Bio-Microbiology,3,Female
2026-1440,Joy,De Leon,BS Bio-Plant Biology,4,Other
2026-1441,Tobias,Sanchez,BS Chem,1,Male
2026-1442,Carmen,Calixto,BS Econ,2,Female
2026-1443,Eric,Serrano,BS HM,3,Other
2026-1444,Ryan,Guevara,BS IAM,4,Male
2026-1445,Clara,Santiago,BS Mar,1,Female
2026-1446,George,Paredes,BS Math,2,Other
2026-1447,Laura,Hernando,BS Physics,3,Male
2026-1448,Leah,Quiambao,BS Stat,4,Female
2026-1449,Alyssa,Padilla,BSA,1,Other
2026-1450,Ethan,Robles,BSBA-BE,2,Male
2026-1451,Daniel,Luna,BSBA-MM,3,Female
2026-1452,Clarisse,Neri,BSCE,4,Other
2026-1453,Christian,Romero,BSCE,1,Male
2026-1454,Daniel,David,BSCS,2,Female
2026-1455,Zachary,Bermudez,BSCerE,3,Other
2026-1456,Vincent,Ledesma,BSChE,4,Male
2026-1457,Simon,Quiambao,BSCpE,1,Female
2026-1458,Finn,Samson,BSECE,2,Other
2026-1459,Isabella,Hidalgo,BSEE,3,Male
2026-1460,Dominic,Nguyen,BSEME,4,Female
2026-1461,Ophelia,Calderon,BSENTREP,1,Other
2026-1462,Orlando,Nolasco,BSEnE,2,Male
2026-1463,Lourdes,Cayetano,BSIS,3,Female
2026-1464,Jose,Lacsamana,BSIT,4,Other
2026-1465,Elias,Aquino,BSME,1,Male
2026-1466,Wilma,Manalo,BSMEE,2,Female
2026-1467,Simon,Lacsamana,BSMetE,3,Other
2026-1468,Ramon,Calderon,BSCE,4,Male
2026-1469,Bianca,Jacinto,BSPhil,1,Female
2026-1470,Patrick,Aquino,BSPsych,2,Other
2026-1471,Martin,Domingo,BA Fil,3,Male
2026-1472,Ramon,Aguilar,BA His,4,Female
2026-1473,Ivan,Urbano,BA Pan,1,Other
2026-1474,Queenie,Tiongson,BA PoS,2,Male
2026-1475,Lourdes,Velez,BA Psych,3,Female
2026-1476,Wilma,Isidro,BA Soc,4,Other
2026-1477,Gavin,Dizon,BAELS,1,Male
2026-1478,Martin,Estrada,BALCS,2,Female
2026-1479,Enzo,Morales,BET-CET,3,Other
2026-1480,Daphne,Osorio,BET-ChET,4,Male
2026-1481,Isabella,Sanchez,BET-EET,1,Female
2026-1482,Sofia,Panganiban,BET-EST,2,Other
2026-1483,Ursula,Domingo,BET-MET,3,Male
2026-1484,Dylan,Kasim,BET-MMT,4,Female
2026-1485,Christian,Neri,BS Applied Physics,1,Other
2026-1486,Roderick,Osorio,BS Bio-Animal Biology,2,Male
2026-1487,Roderick,Tiongson,BS Bio-Biodiversity,3,Female
2026-1488,Laura,Quisumbing,BS Bio-Microbiology,4,Other
2026-1489,Lourdes,Domingo,BS Bio-Plant Biology,1,Male
2026-1490,Paolo,Dela Cruz,BS Chem,2,Female
2026-1491,Bianca,Sanchez,BS Econ,3,Other
2026-1492,Ethan,Abad,BS HM,4,Male
2026-1493,Dylan,Paredes,BS IAM,1,Female
2026-1494,Maya,Tan,BS Mar,2,Other
2026-1495,Queenie,Tanada,BS Math,3,Male
2026-1496,Uriel,Enriquez,BS Physics,4,Female
2026-1497,Cyrus,Estrella,BS Stat,1,Other
2026-1498,Samuel,Vargas,BSA,2,Male
2026-1499,Leo,Mercado,BSBA-BE,3,Female
2026-1500,Joy,Belen,BSBA-MM,4,Other
2026-1501,Enzo,Madrigal,BSCE,1,Male
2026-1502,Zachary,Wong,BSCE,2,Female
2026-1503,Bianca,Rivera,BSCS,3,Other
2026-1504,Mark,Lacsamana,BSCerE,4,Male
2026-1505,Quinn,Robles,BSChE,1,Female
2026-1506,Ella,Roxas,BSCpE,2,Other
2026-1507,Quinn,Natividad,BSECE,3,Male
2026-1508,Adrian,Navarro,BSEE,4,Female
2026-1509,Katherine,Ortega,BSEME,1,Other
2026-1510,Dominic,De Vera,BSENTREP,2,Male
2026-1511,Miguel,Salazar,BSEnE,3,Female
2026-1512,Sofia,Osorio,BSIS,4,Other
2026-1513,Zion,Hidalgo,BSIT,1,Male
2026-1514,Shiela,Khan,BSME,2,Female
2026-1515,Ariana,Vargas,BSMEE,3,Other
2026-1516,Nathan,Espinosa,BSMetE,4,Male
2026-1517,Mark,Kara,BSCE,1,Female
2026-1518,Althea,Velasco,BSPhil,2,Other
2026-1519,Queenie,Flores,BSPsych,3,Male
2026-1520,Luis,Villanueva,BA Fil,4,Female
2026-1521,Daniel,Padilla,BA His,1,Other
2026-1522,Nestor,Sison,BA Pan,2,Male
2026-1523,Lourdes,Jalandoni,BA PoS,3,Female
2026-1524,Jose,Tan,BA Psych,4,Other
2026-1525,Dylan,Neri,BA Soc,1,Male
2026-1526,Maya,Mercado,BAELS,2,Female
2026-1527,Joy,Ablaza,BALCS,3,Other
2026-1528,Tristan,Abad,BET-CET,4,Male
2026-1529,Christian,Joaquin,BET-ChET,1,Female
2026-1530,Kevin,Cabrera,BET-EET,2,Other
2026-1531,Patrick,Zulueta,BET-EST,3,Male
2026-1532,Ana,Gutierrez,BET-MET,4,Female
2026-1533,Tobias,Kasim,BET-MMT,1,Other
2026-1534,Janice,Garcia,BS Applied Physics,2,Male
2026-1535,Naomi,Villanueva,BS Bio-Animal Biology,3,Female
2026-1536,Katherine,Fernandez,BS Bio-Biodiversity,4,Other
2026-1537,Zachary,Kabiling,BS Bio-Microbiology,1,Male
2026-1538,Wesley,Bermudez,BS Bio-Plant Biology,2,Female
2026-1539,Shiela,Quiambao,BS Chem,3,Other
2026-1540,Maya,Ablaza,BS Econ,4,Male
2026-1541,Kevin,Villanueva,BS HM,1,Female
2026-1542,Mia,Belen,BS IAM,2,Other
2026-1543,Bella,Sison,BS Mar,3,Male
2026-1544,Cedric,Mendoza,BS Math,4,Female
2026-1545,Emilio,Ong,BS Physics,1,Other
2026-1546,George,Abad,BS Stat,2,Male
2026-1547,Patrick,Cruz,BSA,3,Female
2026-1548,Joy,Osorio,BSBA-BE,4,Other
2026-1549,Ramon,Aquino,BSBA-MM,1,Male
2026-1550,Gavin,Ortega,BSCE,2,Female
2026-1551,Naomi,Ibrahim,BSCE,3,Other
2026-1552,Nina,Lorenzo,BSCS,4,Male
2026-1553,Carmen,Rivera,BSCerE,1,Female
2026-1554,Cyrus,Villanueva,BSChE,2,Other
2026-1555,Zachary,Madrigal,BSCpE,3,Male
2026-1556,Yana,Bautista,BSECE,4,Female
2026-1557,Jose,Ocampo,BSEE,1,Other
2026-1558,Neil,Panganiban,BSEME,2,Male
2026-1559,Paula,Uy,BSENTREP,3,Female
2026-1560,Nestor,Ocampo,BSEnE,4,Other
2026-1561,Alyssa,Navarro,BSIS,1,Male
2026-1562,Daniel,Baldwin,BSIT,2,Female
2026-1563,Ariel,Kara,BSME,3,Other
2026-1564,Nicole,Quiambao,BSMEE,4,Male
2026-1565,Martin,Ramos,BSMetE,1,Female
2026-1566,Ariel,De Vera,BSCE,2,Other
2026-1567,Olivia,Roxas,BSPhil,3,Male
2026-1568,Liam,Enriquez,BSPsych,4,Female
2026-1569,Giselle,Zulueta,BA Fil,1,Other
2026-1570,Brian,Hernandez,BA His,2,Male
2026-1571,Ivan,Razon,BA Pan,3,Female
2026-1572,Shiela,Estrella,BA PoS,4,Other
2026-1573,Rita,De Vera,BA Psych,1,Male
2026-1574,Wendy,Kabiling,BA Soc,2,Female
2026-1575,Ian,Salazar,BAELS,3,Other
2026-1576,Elena,Baldwin,BALCS,4,Male
2026-1577,Faith,Quinto,BET-CET,1,Female
2026-1578,Noah,Panganiban,BET-ChET,2,Other
2026-1579,Vincent,Mercado,BET-EET,3,Male
2026-1580,Juan,Dela Cruz,BET-EST,4,Female
2026-1581,Faith,Lopez,BET-MET,1,Other
2026-1582,Monica,Lim,BET-MMT,2,Male
2026-1583,Nestor,Isidro,BS Applied Physics,3,Female
2026-1584,Andrea,Kabiling,BS Bio-Animal Biology,4,Other
2026-1585,Christian,Manalo,BS Bio-Biodiversity,1,Male
2026-1586,Sebastian,Kasim,BS Bio-Microbiology,2,Female
2026-1587,Xavier,Garcia,BS Bio-Plant Biology,3,Other
2026-1588,Tessa,Benedicto,BS Chem,4,Male
2026-1589,Victor,Ibrahim,BS Econ,1,Female
2026-1590,Kevin,Ibrahim,BS HM,2,Other
2026-1591,George,Quinto,BS IAM,3,Male
2026-1592,Selena,Torres,BS Mar,4,Female
2026-1593,Lourdes,Gonzales,BS Math,1,Other
2026-1594,Paula,Jalandoni,BS Physics,2,Male
2026-1595,Vera,Ibrahim,BS Stat,3,Female
2026-1596,Simon,De Vera,BSA,4,Other
2026-1597,Vincent,Magtibay,BSBA-BE,1,Male
2026-1598,Bianca,Pascual,BSBA-MM,2,Female
2026-1599,Juan,Ibrahim,BSCE,3,Other
2026-1600,Maria,Flores,BSCE,4,Male
2026-1601,Jose,Cayetano,BSCS,1,Female
2026-1602,Finn,Velasco,BSCerE,2,Other
2026-1603,Orlando,Fernandez,BSChE,3,Male
2026-1604,Simon,Magtibay,BSCpE,4,Female
2026-1605,Elena,Manansala,BSECE,1,Other
2026-1606,Shiela,Garcia,BSEE,2,Male
2026-1607,Carmen,De Leon,BSEME,3,Female
2026-1608,Liam,Yap,BSENTREP,4,Other
2026-1609,Kenneth,Jacinto,BSEnE,1,Male
2026-1610,Heidi,Osorio,BSIS,2,Female
2026-1611,Daphne,Aquino,BSIT,3,Other
2026-1612,Clarisse,Guevara,BSME,4,Male
2026-1613,Daniel,San Jose,BSMEE,1,Female
2026-1614,Shiela,Co,BSMetE,2,Other
2026-1615,Dylan,Gonzales,BSCE,3,Male
2026-1616,Ariana,Lopez,BSPhil,4,Female
2026-1617,Rafael,Samson,BSPsych,1,Other
2026-1618,Althea,Yabut,BA Fil,2,Male
2026-1619,Heidi,Valdez,BA His,3,Female
2026-1620,Bea,Ferrer,BA Pan,4,Other
2026-1621,Adrian,Mercado,BA PoS,1,Male
2026-1622,Yana,Sison,BA Psych,2,Female
2026-1623,Mia,Padilla,BA Soc,3,Other
2026-1624,Ryan,Velasco,BAELS,4,Male
2026-1625,Nicole,Javier,BALCS,1,Female
2026-1626,Hannah,Razon,BET-CET,2,Other
2026-1627,Xavier,Benedicto,BET-ChET,3,Male
2026-1628,Brenda,Calderon,BET-EET,4,Female
2026-1629,Samuel,Tagle,BET-EST,1,Other
2026-1630,Bea,Inocencio,BET-MET,2,Male
2026-1631,Faye,David,BET-MMT,3,Female
2026-1632,Kevin,Zulueta,BS Applied Physics,4,Other
2026-1633,Isagani,Valdez,BS Bio-Animal Biology,1,Male
2026-1634,Andrea,Ablaza,BS Bio-Biodiversity,2,Female
2026-1635,Brenda,Morales,BS Bio-Microbiology,3,Other
2026-1636,Daphne,Bautista,BS Bio-Plant Biology,4,Male
2026-1637,Carlo,Velasco,BS Chem,1,Female
2026-1638,Finn,Osorio,BS Econ,2,Other
2026-1639,Bea,Garcia,BS HM,3,Male
2026-1640,Juan,Reyes,BS IAM,4,Female
2026-1641,Nestor,Rivera,BS Mar,1,Other
2026-1642,Perry,Hernando,BS Math,2,Male
2026-1643,Roderick,Domingo,BS Physics,3,Female
2026-1644,Nina,Umali,BS Stat,4,Other
2026-1645,Tobias,Torres,BSA,1,Male
2026-1646,Maria,Fuentes,BSBA-BE,2,Female
2026-1647,Althea,Javier,BSBA-MM,3,Other
2026-1648,Leah,Calixto,BSCE,4,Male
2026-1649,Heidi,Co,BSCE,1,Female
2026-1650,Uriel,Javier,BSCS,2,Other
2026-1651,Nestor,Gatchalian,BSCerE,3,Male
2026-1652,Naomi,Valdez,BSChE,4,Female
2026-1653,Rita,David,BSCpE,1,Other
2026-1654,Janice,Hernando,BSECE,2,Male
2026-1655,Perry,Baldwin,BSEE,3,Female
2026-1656,Ramon,Santiago,BSEME,4,Other
2026-1657,Cyrus,Domingo,BSENTREP,1,Male
2026-1658,Faye,Cabrera,BSEnE,2,Female
2026-1659,Katherine,Dela Cruz,BSIS,3,Other
2026-1660,Martin,Padilla,BSIT,4,Male
2026-1661,Bianca,Cabrera,BSME,1,Female
2026-1662,Eric,Quisumbing,BSMEE,2,Other
2026-1663,Heidi,Khan,BSMetE,3,Male
2026-1664,Marnie,Garcia,BSCE,4,Female
2026-1665,Bella,Manansala,BSPhil,1,Other
2026-1666,Dylan,Calderon,BSPsych,2,Male
2026-1667,Samuel,Torres,BA Fil,3,Female
2026-1668,Bianca,De Leon,BA His,4,Other
2026-1669,Clara,Cruz,BA Pan,1,Male
2026-1670,Jose,Panganiban,BA PoS,2,Female
2026-1671,Finn,Tan,BA Psych,3,Other
2026-1672,Hazel,Gonzales,BA Soc,4,Male
2026-1673,Irene,Padilla,BAELS,1,Female
2026-1674,Ophelia,Zulueta,BALCS,2,Other
2026-1675,Christian,Osorio,BET-CET,3,Male
2026-1676,Laura,Bermudez,BET-ChET,4,Female
2026-1677,Jasmine,Samson,BET-EET,1,Other
2026-1678,Ophelia,Macaraeg,BET-EST,2,Male
2026-1679,Jared,Mendoza,BET-MET,3,Female
2026-1680,Patricia,Samson,BET-MMT,4,Other
2026-1681,Clara,Gonzales,BS Applied Physics,1,Male
2026-1682,Jose,Espinosa,BS Bio-Animal Biology,2,Female
2026-1683,Hazel,Paredes,BS Bio-Biodiversity,3,Other
2026-1684,Laura,Quinones,BS Bio-Microbiology,4,Male
2026-1685,Frances,David,BS Bio-Plant Biology,1,Female
2026-1686,Adrian,Macaraeg,BS Chem,2,Other
2026-1687,Ophelia,Panganiban,BS Econ,3,Male
2026-1688,Bea,Gutierrez,BS HM,4,Female
2026-1689,Cyrus,Torres,BS IAM,1,Other
2026-1690,Bea,Wong,BS Mar,2,Male
2026-1691,Andrea,Nguyen,BS Math,3,Female
2026-1692,Zion,Enriquez,BS Physics,4,Other
2026-1693,Patrick,Uy,BS Stat,1,Male
2026-1694,Neil,Manansala,BSA,2,Female
2026-1695,Cyrus,Perez,BSBA-BE,3,Other
2026-1696,Denise,Uy,BSBA-MM,4,Male
2026-1697,Patricia,Morales,BSCE,1,Female
2026-1698,Carmen,Cabrera,BSCE,2,Other
2026-1699,Jared,Estrella,BSCS,3,Male
2026-1700,Olivia,Quijano,BSCerE,4,Female
2026-1701,Juan,Enriquez,BSChE,1,Other
2026-1702,Rita,Salvacion,BSCpE,2,Male
2026-1703,Angela,Tanada,BSECE,3,Female
2026-1704,Bella,Lopez,BSEE,4,Other
2026-1705,Miguel,Reyes,BSEME,1,Male
2026-1706,Naomi,Osorio,BSENTREP,2,Female
2026-1707,Tobias,Quijano,BSEnE,3,Other
2026-1708,Simon,Yabut,BSIS,4,Male
2026-1709,Sebastian,Aquino,BSIT,1,Female
2026-1710,Victor,Navarro,BSME,2,Other
2026-1711,Laura,Salazar,BSMEE,3,Male
2026-1712,Carmen,Hilario,BSMetE,4,Female
2026-1713,Wilma,San Jose,BSCE,1,Other
2026-1714,Althea,Baldwin,BSPhil,2,Male
2026-1715,Tessa,Ilagan,BSPsych,3,Female
2026-1716,Vincent,Baldwin,BA Fil,4,Other
2026-1717,Ophelia,Gatdula,BA His,1,Male
2026-1718,Christian,Gutierrez,BA Pan,2,Female
2026-1719,Finn,Calderon,BA PoS,3,Other
2026-1720,Mark,Estrella,BA Psych,4,Male
2026-1721,Diana,Uy,BA Soc,1,Female
2026-1722,Wesley,Javier,BAELS,2,Other
2026-1723,Cyrus,Paredes,BALCS,3,Male
2026-1724,Faye,Calixto,BET-CET,4,Female
2026-1725,Patrick,Tagle,BET-ChET,1,Other
2026-1726,Yvette,Bautista,BET-EET,2,Male
2026-1727,Adrian,Gonzales,BET-EST,3,Female
2026-1728,Faith,Gatchalian,BET-MET,4,Other
2026-1729,Jose,Ramos,BET-MMT,1,Male
2026-1730,Maria,Mercado,BS Applied Physics,2,Female
2026-1731,Jared,Razon,BS Bio-Animal Biology,3,Other
2026-1732,Luis,Quinto,BS Bio-Biodiversity,4,Male
2026-1733,Wendy,Bernardo,BS Bio-Microbiology,1,Female
2026-1734,Shiela,Lim,BS Bio-Plant Biology,2,Other
2026-1735,Kevin,Yason,BS Chem,3,Male
2026-1736,Leah,Pascual,BS Econ,4,Female
2026-1737,Queenie,Villanueva,BS HM,1,Other
2026-1738,Victor,De Leon,BS IAM,2,Male
2026-1739,Hannah,Castillo,BS Mar,3,Female
2026-1740,Hannah,Garcia,BS Math,4,Other
2026-1741,Daphne,Ong,BS Physics,1,Male
2026-1742,Lina,Jalandoni,BS Stat,2,Female
2026-1743,Daniel,Torres,BSA,3,Other
2026-1744,Perry,Bautista,BSBA-BE,4,Male
2026-1745,Jared,Bermudez,BSBA-MM,1,Female
2026-1746,Carlo,Serrano,BSCE,2,Other
2026-1747,Karl,Hernando,BSCE,3,Male
2026-1748,Olivia,Velasco,BSCS,4,Female
2026-1749,Ariel,Villanueva,BSCerE,1,Other
2026-1750,Maria,Jalandoni,BSChE,2,Male
2026-1751,Clara,Bermudez,BSCpE,3,Female
2026-1752,Leo,Rosales,BSECE,4,Other
2026-1753,Isagani,Hidalgo,BSEE,1,Male
2026-1754,Carlo,Joaquin,BSEME,2,Female
2026-1755,Daniel,Cabrera,BSENTREP,3,Other
2026-1756,Diana,Quinto,BSEnE,4,Male
2026-1757,Rafael,Tan,BSIS,1,Female
2026-1758,Vera,Santiago,BSIT,2,Other
2026-1759,Neil,Neri,BSME,3,Male
2026-1760,Diana,Madrigal,BSMEE,4,Female
2026-1761,Ramon,Jacinto,BSMetE,1,Other
2026-1762,Wesley,Ilagan,BSCE,2,Male
2026-1763,Ophelia,Cayetano,BSPhil,3,Female
2026-1764,Gabriel,Dizon,BSPsych,4,Other
2026-1765,Patrick,Gatdula,BA Fil,1,Male
2026-1766,Valerie,Lopez,BA His,2,Female
2026-1767,Faith,Soriano,BA Pan,3,Other
2026-1768,Valerie,Mercado,BA PoS,4,Male
2026-1769,Ursula,Navarro,BA Psych,1,Female
2026-1770,Leo,Khan,BA Soc,2,Other
2026-1771,Laura,Romero,BAELS,3,Male
2026-1772,Uriel,Flores,BALCS,4,Female
2026-1773,Sebastian,Flores,BET-CET,1,Other
2026-1774,Zion,Fernandez,BET-ChET,2,Male
2026-1775,Bea,Lorenzo,BET-EET,3,Female
2026-1776,Noah,Flores,BET-EST,4,Other
2026-1777,Alyssa,Dela Cruz,BET-MET,1,Male
2026-1778,Wesley,Kara,BET-MMT,2,Female
2026-1779,Wendy,Zamora,BS Applied Physics,3,Other
2026-1780,Sofia,Ledesma,BS Bio-Animal Biology,4,Male
2026-1781,Joshua,Perez,BS Bio-Biodiversity,1,Female
2026-1782,Ulysses,Dela Cruz,BS Bio-Microbiology,2,Other
2026-1783,Karl,Santiago,BS Bio-Plant Biology,3,Male
2026-1784,Brian,Flores,BS Chem,4,Female
2026-1785,Enzo,Yap,BS Econ,1,Other
2026-1786,Paula,Macaraeg,BS HM,2,Male
2026-1787,Monica,Quiambao,BS IAM,3,Female
2026-1788,Neil,Gonzales,BS Mar,4,Other
2026-1789,Rita,Velez,BS Math,1,Male
2026-1790,Isabella,Rosales,BS Physics,2,Female
2026-1791,Zion,Yason,BS Stat,3,Other
2026-1792,Shiela,Navarro,BSA,4,Male
2026-1793,Noah,Navarro,BSBA-BE,1,Female
2026-1794,Ethan,Enriquez,BSBA-MM,2,Other
2026-1795,Jasmine,Belen,BSCE,3,Male
2026-1796,Isabella,Tan,BSCE,4,Female
2026-1797,Gavin,Mercado,BSCS,1,Other
2026-1798,Patricia,Torres,BSCerE,2,Male
2026-1799,Christian,Mendoza,BSChE,3,Female
2026-1800,Ana,Soriano,BSCpE,4,Other
2026-1801,Katherine,Aguilar,BSECE,1,Male
2026-1802,Gavin,Luna,BSEE,2,Female
2026-1803,Christian,Umali,BSEME,3,Other
2026-1804,Valerie,Quinto,BSENTREP,4,Male
2026-1805,Elias,Tan,BSEnE,1,Female
2026-1806,Bella,Aquino,BSIS,2,Other
2026-1807,Joshua,Aquino,BSIT,3,Male
2026-1808,Orlando,Serrano,BSME,4,Female
2026-1809,Laura,Hilario,BSMEE,1,Other
2026-1810,Heidi,Tanada,BSMetE,2,Male
2026-1811,Mia,Zamora,BSCE,3,Female
2026-1812,Martin,Serrano,BSPhil,4,Other
2026-1813,Olivia,Navarro,BSPsych,1,Male
2026-1814,Hannah,Romero,BA Fil,2,Female
2026-1815,Isabella,Inocencio,BA His,3,Other
2026-1816,Frances,Aguilar,BA Pan,4,Male
2026-1817,Vincent,Gonzales,BA PoS,1,Female
2026-1818,Leo,Javier,BA Psych,2,Other
2026-1819,Gabriel,Ong,BA Soc,3,Male
2026-1820,Althea,Kabiling,BAELS,4,Female
2026-1821,Maria,Hernandez,BALCS,1,Other
2026-1822,Jose,De Vera,BET-CET,2,Male
2026-1823,Laura,Abad,BET-ChET,3,Female
2026-1824,Naomi,Mercado,BET-EET,4,Other
2026-1825,Isabella,Romero,BET-EST,1,Male
2026-1826,Quinn,Macaraeg,BET-MET,2,Female
2026-1827,Queenie,Lim,BET-MMT,3,Other
2026-1828,Vincent,Lopez,BS Applied Physics,4,Male
2026-1829,Jasmine,Uy,BS Bio-Animal Biology,1,Female
2026-1830,Clarisse,Morales,BS Bio-Biodiversity,2,Other
2026-1831,Nestor,Rosales,BS Bio-Microbiology,3,Male
2026-1832,Elena,Tanada,BS Bio-Plant Biology,4,Female
2026-1833,Ryan,Osorio,BS Chem,1,Other
2026-1834,Ulysses,Sison,BS Econ,2,Male
2026-1835,Tristan,Valdez,BS HM,3,Female
2026-1836,Kevin,Vargas,BS IAM,4,Other
2026-1837,Xavier,Estrella,BS Mar,1,Male
2026-1838,Bianca,Tagle,BS Math,2,Female
2026-1839,Wilma,Umali,BS Physics,3,Other
2026-1840,Paula,Espinosa,BS Stat,4,Male
2026-1841,Zachary,Perez,BSA,1,Female
2026-1842,Patrick,Madrigal,BSBA-BE,2,Other
2026-1843,Ulysses,Zamora,BSBA-MM,3,Male
2026-1844,Finn,Castillo,BSCE,4,Female
2026-1845,Selena,Panganiban,BSCE,1,Other
2026-1846,Ramon,Hidalgo,BSCS,2,Male
2026-1847,Cyrus,Baldwin,BSCerE,3,Female
2026-1848,Hannah,Ferrer,BSChE,4,Other
2026-1849,Brian,Dizon,BSCpE,1,Male
2026-1850,Wendy,Sison,BSECE,2,Female
2026-1851,Bea,Valdez,BSEE,3,Other
2026-1852,Nicole,Urbano,BSEME,4,Male
2026-1853,Valerie,Pineda,BSENTREP,1,Female
2026-1854,Nestor,Hidalgo,BSEnE,2,Other
2026-1855,Althea,Romero,BSIS,3,Male
2026-1856,Eric,Roxas,BSIT,4,Female
2026-1857,Hector,Salazar,BSME,1,Other
2026-1858,Ariel,Isidro,BSMEE,2,Male
2026-1859,Tristan,Yap,BSMetE,3,Female
2026-1860,Jared,Valdez,BSCE,4,Other
2026-1861,Sofia,Calixto,BSPhil,1,Male
2026-1862,Heidi,Gutierrez,BSPsych,2,Female
2026-1863,Hazel,De Leon,BA Fil,3,Other
2026-1864,Noah,Sison,BA His,4,Male
2026-1865,Kenneth,Flores,BA Pan,1,Female
2026-1866,Dominic,Uy,BA PoS,2,Other
2026-1867,Neil,Zulueta,BA Psych,3,Male
